sepal_length,sepal_width,petal_length,petal_width,species,Random Column,Random * 10
5.1,3.5,1.4,0.2,Iris-setosa,0.6377731637700967,6.377731637700967
4.9,3.0,1.4,0.2,Iris-setosa,0.43226247957503394,4.32262479575034
4.7,3.2,1.3,0.2,Iris-setosa,0.5073926940923188,5.073926940923188
4.6,3.1,1.5,0.2,Iris-setosa,0.12714910997957285,1.2714910997957285
5.0,3.6,1.4,0.2,Iris-setosa,0.6096895438287039,6.096895438287039
5.4,3.9,1.7,0.4,Iris-setosa,0.15470823281379065,1.5470823281379065
4.6,3.4,1.4,0.3,Iris-setosa,0.7271754815787811,7.271754815787811
5.0,3.4,1.5,0.2,Iris-setosa,0.46349784072871547,4.6349784072871545
4.4,2.9,1.4,0.2,Iris-setosa,0.01256623205519014,0.1256623205519014
4.9,3.1,1.5,0.1,Iris-setosa,0.05907361620616414,0.5907361620616414
5.4,3.7,1.5,0.2,Iris-setosa,0.6169336824765397,6.169336824765397
4.8,3.4,1.6,0.2,Iris-setosa,0.6301953297841728,6.301953297841728
4.8,3.0,1.4,0.1,Iris-setosa,0.3797885306381046,3.797885306381046
4.3,3.0,1.1,0.1,Iris-setosa,0.13982951158200152,1.3982951158200152
5.8,4.0,1.2,0.2,Iris-setosa,0.27941399309784976,2.7941399309784973
5.7,4.4,1.5,0.4,Iris-setosa,0.05540208261201052,0.5540208261201052
5.4,3.9,1.3,0.4,Iris-setosa,0.8749184241387881,8.74918424138788
5.1,3.5,1.4,0.3,Iris-setosa,0.3143493069951325,3.143493069951325
5.7,3.8,1.7,0.3,Iris-setosa,0.4527097047748665,4.527097047748665
5.1,3.8,1.5,0.3,Iris-setosa,0.6012323458851245,6.012323458851245
5.4,3.4,1.7,0.2,Iris-setosa,0.057029443215828146,0.5702944321582815
5.1,3.7,1.5,0.4,Iris-setosa,0.8183567165126503,8.183567165126503
4.6,3.6,1.0,0.2,Iris-setosa,0.9663403404338692,9.663403404338691
5.1,3.3,1.7,0.5,Iris-setosa,0.1785709976029245,1.785709976029245
4.8,3.4,1.9,0.2,Iris-setosa,0.3827690568623453,3.827690568623453
5.0,3.0,1.6,0.2,Iris-setosa,0.4479589484280463,4.479589484280463
5.0,3.4,1.6,0.4,Iris-setosa,0.0008174158829110656,0.008174158829110656
5.2,3.5,1.5,0.2,Iris-setosa,0.5355563887155286,5.355563887155286
5.2,3.4,1.4,0.2,Iris-setosa,0.7546536029901075,7.546536029901075
4.7,3.2,1.6,0.2,Iris-setosa,0.1470262307230198,1.470262307230198
4.8,3.1,1.6,0.2,Iris-setosa,0.7751376577036106,7.7513765770361065
5.4,3.4,1.5,0.4,Iris-setosa,0.5847642119551809,5.847642119551809
5.2,4.1,1.5,0.1,Iris-setosa,0.6710349736451535,6.710349736451535
5.5,4.2,1.4,0.2,Iris-setosa,0.27746795943849756,2.774679594384976
4.9,3.1,1.5,0.1,Iris-setosa,0.1318537460955127,1.318537460955127
5.0,3.2,1.2,0.2,Iris-setosa,0.8236134661822435,8.236134661822435
5.5,3.5,1.3,0.2,Iris-setosa,0.013985385107064041,0.1398538510706404
4.9,3.1,1.5,0.1,Iris-setosa,0.7521225185672393,7.521225185672393
4.4,3.0,1.3,0.2,Iris-setosa,0.9395245701819813,9.395245701819814
5.1,3.4,1.5,0.2,Iris-setosa,0.20755632713345396,2.0755632713345396
5.0,3.5,1.3,0.3,Iris-setosa,0.5183602697438834,5.183602697438834
4.5,2.3,1.3,0.3,Iris-setosa,0.8037119369987841,8.03711936998784
4.4,3.2,1.3,0.2,Iris-setosa,0.4452462328811696,4.452462328811696
5.0,3.5,1.6,0.6,Iris-setosa,0.5255258364701618,5.255258364701618
5.1,3.8,1.9,0.4,Iris-setosa,0.6484231294244135,6.484231294244135
4.8,3.0,1.4,0.3,Iris-setosa,0.7028990799673377,7.028990799673377
5.1,3.8,1.6,0.2,Iris-setosa,0.5517169271015729,5.51716927101573
4.6,3.2,1.4,0.2,Iris-setosa,0.6971572847224511,6.971572847224511
5.3,3.7,1.5,0.2,Iris-setosa,0.32455632498384435,3.2455632498384435
5.0,3.3,1.4,0.2,Iris-setosa,0.6618429410445191,6.6184294104451915
7.0,3.2,4.7,1.4,Iris-versicolor,0.7756359711930976,7.756359711930976
6.4,3.2,4.5,1.5,Iris-versicolor,0.8739031808258576,8.739031808258575
6.9,3.1,4.9,1.5,Iris-versicolor,0.25087741727928525,2.5087741727928528
5.5,2.3,4.0,1.3,Iris-versicolor,0.2286468787813093,2.286468787813093
6.5,2.8,4.6,1.5,Iris-versicolor,0.1845401329271017,1.845401329271017
5.7,2.8,4.5,1.3,Iris-versicolor,0.05227709341049713,0.5227709341049713
6.3,3.3,4.7,1.6,Iris-versicolor,0.9594986518883512,9.59498651888351
4.9,2.4,3.3,1.0,Iris-versicolor,0.6059730780219907,6.059730780219907
6.6,2.9,4.6,1.3,Iris-versicolor,0.7520306959808755,7.520306959808755
5.2,2.7,3.9,1.4,Iris-versicolor,0.6206135569332136,6.206135569332137
5.0,2.0,3.5,1.0,Iris-versicolor,0.9296372202282922,9.296372202282923
5.9,3.0,4.2,1.5,Iris-versicolor,0.3282401461244707,3.2824014612447074
6.0,2.2,4.0,1.0,Iris-versicolor,0.1659743569844695,1.659743569844695
6.1,2.9,4.7,1.4,Iris-versicolor,0.24386370154728787,2.438637015472879
5.6,2.9,3.6,1.3,Iris-versicolor,0.702290886958385,7.02290886958385
6.7,3.1,4.4,1.4,Iris-versicolor,0.27117674063032937,2.7117674063032937
5.6,3.0,4.5,1.5,Iris-versicolor,0.21286996078324127,2.128699607832413
5.8,2.7,4.1,1.0,Iris-versicolor,0.2156433938080189,2.156433938080189
6.2,2.2,4.5,1.5,Iris-versicolor,0.8133323032258618,8.133323032258618
5.6,2.5,3.9,1.1,Iris-versicolor,0.01220019871505229,0.1220019871505229
5.9,3.2,4.8,1.8,Iris-versicolor,0.8369669579764863,8.369669579764864
